
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
7540	 1555	 11417	 6198	 7688	 7708	 7732	 5176	 7727	 7613	 8180	 8226	 7623	 5199
7520	 1433	 11033	 6278	 7667	 7696	 7812	 5269	 7694	 7709	 8014	 8037	 7735	 5296
7455	 1328	 10602	 6308	 7591	 7622	 7732	 5305	 7702	 7717	 7923	 7892	 7742	 5330
7507	 1338	 10606	 6354	 7636	 7675	 7910	 5327	 7824	 7741	 7959	 7988	 7757	 5317
7408	 1329	 10449	 6282	 7646	 7683	 7666	 5199	 7610	 7630	 7959	 7935	 7640	 5197
7462	 1411	 10903	 6317	 7652	 7687	 7740	 5205	 7629	 7672	 7917	 7874	 7714	 5235
7571	 1453	 11030	 6239	 7995	 8038	 7778	 5262	 7679	 7797	 8020	 7994	 7755	 5269
7548	 1667	 11155	 6639	 7723	 8021	 8100	 4206	 8009	 6235	 8449	 8416	 8074	 5552
7544	 1541	 11261	 6196	 7626	 7656	 7620	 5162	 7571	 7673	 8466	 8432	 7662	 5206
7487	 1404	 10883	 6300	 7637	 7653	 7728	 5246	 7646	 7751	 8027	 7964	 7737	 5275
7467	 1465	 11013	 6212	 7665	 7687	 7698	 5142	 7615	 7683	 8085	 8011	 7622	 5173
8145	 2058	 12936	 6412	 7659	 7719	 7924	 5312	 7786	 7870	 10187	 10100	 8508	 5338
7775	 1705	 11745	 6284	 7668	 7697	 9092	 5146	 8964	 7660	 8148	 8043	 7644	 5210
7738	 1722	 11502	 6565	 7634	 7867	 8639	 4141	 8460	 7957	 8356	 8261	 7961	 5518
7581	 1536	 11388	 6300	 7650	 7667	 8173	 5168	 8038	 7667	 8024	 7967	 7675	 5257
7527	 1442	 10982	 6279	 7651	 7672	 8000	 5207	 7956	 7717	 7969	 7933	 7693	 5274
7598	 1499	 11291	 6325	 7657	 7678	 8182	 5237	 8190	 7717	 7920	 7901	 7759	 5322
7546	 1437	 10901	 6280	 7689	 7721	 8142	 5190	 7980	 7620	 8013	 8045	 7704	 5277
7580	 1479	 11094	 6310	 7701	 7730	 8190	 5180	 8037	 7629	 8050	 8057	 7720	 5269
7674	 1571	 11638	 6304	 8004	 8023	 8057	 5281	 7933	 7732	 7987	 8048	 7774	 5308
7739	 1581	 11826	 6351	 7732	 7754	 7942	 5419	 7858	 7923	 8321	 8372	 7897	 5473
7433	 1788	 11083	 6863	 7730	 8379	 8331	 4212	 8340	 6517	 8318	 8263	 6695	 4476
7547	 1961	 11544	 7115	 7424	 8544	 8675	 4232	 8570	 6442	 8640	 8623	 6524	 4237
7745	 2074	 11558	 7308	 7673	 9042	 9034	 4109	 9012	 6340	 9045	 9025	 6476	 4329
7729	 2108	 11823	 7060	 7742	 8867	 9076	 4278	 8914	 6254	 9048	 9011	 6490	 4190
7584	 1449	 10805	 6415	 8052	 8072	 7986	 5395	 7897	 6182	 8356	 8398	 7994	 5460
7922	 2070	 13722	 6280	 7730	 7752	 7879	 5312	 7740	 7847	 8799	 8814	 7821	 5377
7752	 1625	 12021	 6364	 7687	 7796	 8215	 5379	 8087	 7880	 8108	 8169	 7860	 5459
7458	 1415	 10816	 6145	 7700	 7784	 7659	 5185	 7558	 7664	 8026	 8057	 7647	 5260
7457	 1333	 10471	 6131	 7700	 7708	 7729	 5258	 7626	 7740	 8020	 8064	 7712	 5330
7632	 1380	 10698	 6272	 7729	 7779	 8219	 5269	 8305	 7889	 8036	 8061	 7846	 5491
8075	 2606	 15973	 6202	 8038	 8057	 8209	 5226	 8235	 7759	 8055	 8051	 7703	 5395
7613	 1494	 10853	 6086	 7732	 7732	 8410	 5146	 8301	 7665	 8241	 8330	 7642	 5228
7639	 1808	 12576	 6083	 7724	 7732	 7930	 5172	 7756	 7666	 8085	 8067	 7641	 5244
7439	 1408	 10747	 6083	 7703	 7724	 7675	 5168	 7615	 7601	 8062	 8039	 7590	 5268
7509	 1395	 10709	 6107	 7726	 7789	 7943	 5139	 7969	 7775	 7948	 7934	 7674	 5402
