# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
20265	5033	14533	 28659	 28690	 16640	 16692	 28105	 17894	 17940	 17951	 20397	 20496	 15184
19187	5365	14646	 32595	 18935	 17603	 17219	 16127	 16340	 29054	 15414	 17652	 17522	 17144
19005	5555	18327	 32271	 18349	 30045	 16070	 15706	 16203	 15762	 14632	 17622	 16958	 16120
22011	9553	17548	 31972	 16688	 17555	 16663	 16232	 48240	 30860	 18153	 17407	 16861	 15961
24249	10044	17637	 33008	 16256	 16567	 14687	 32507	 32318	 17277	 16927	 15371	 31689	 46745
23460	10227	16806	 14884	 33675	 18317	 16502	 33273	 16556	 16789	 16134	 17911	 47920	 32761
30490	12377	33398	 17321	 49564	 31813	 17495	 47447	 32663	 17992	 17782	 17729	 33809	 48873
23673	9894	17178	 16186	 32417	 18468	 16698	 33561	 17054	 17292	 17166	 17748	 47935	 32379
26160	11550	18096	 48702	 32921	 43893	 29797	 13763	 31403	 16186	 15937	 16542	 14392	 32297
32960	12473	19647	 49670	 34083	 47471	 33044	 17664	 15481	 31497	 46742	 17967	 33778	 48487
27287	11625	18340	 48614	 33108	 46437	 32151	 17055	 18069	 16385	 33752	 16789	 32624	 14128
27216	11619	31611	 13803	 46352	 34316	 47419	 17560	 17681	 16463	 33399	 18383	 15628	 33979
29650	12520	18348	 33590	 48602	 46333	 14122	 29719	 18785	 34030	 14637	 17000	 32956	 47684
29984	12932	18413	 49379	 33714	 31768	 14193	 15184	 32511	 48108	 16688	 17951	 33417	 48493
26691	13676	17075	 14462	 15153	 31818	 15052	 15493	 18556	 54136	 39237	 17575	 33136	 48607
22964	10535	15341	 46991	 31216	 17085	 15447	 15267	 17748	 14088	 36822	 16924	 15977	 32673
22793	10029	17415	 15000	 32796	 46566	 32271	 16768	 17567	 15235	 14645	 17276	 15584	 32403
26493	12198	18516	 51006	 35018	 46623	 32366	 17177	 17909	 16137	 16022	 17724	 16103	 33317
23196	10588	18434	 34715	 15906	 16886	 14855	 15087	 48768	 32063	 17281	 16936	 14933	 32493
21373	7485	19474	 36185	 15800	 18170	 15427	 20717	 16542	 32119	 16076	 17137	 15232	 33602
22001	10602	18515	 15287	 16222	 18032	 16770	 15297	 50000	 13766	 33283	 17503	 15812	 33525
20103	7381	16873	 33257	 15250	 32802	 15261	 15721	 16101	 15851	 14956	 16893	 15788	 32485
26875	12218	19967	 50262	 34915	 46193	 31823	 16793	 37657	 16431	 21241	 17244	 15303	 14679
23571	10309	17520	 14838	 15103	 33642	 46906	 16983	 16691	 36223	 20842	 16219	 15827	 32066
26819	12076	15480	 48666	 32893	 45974	 13882	 29345	 17217	 15206	 32600	 17598	 15983	 36990
23303	10451	18809	 49040	 33333	 16813	 15359	 31874	 17477	 15231	 14496	 17909	 16302	 32997
26882	11980	17587	 35765	 16305	 44241	 29739	 13866	 34119	 50007	 17534	 32463	 15951	 15007
27446	11343	18455	 34292	 16470	 46647	 32345	 17054	 17283	 33109	 15631	 33756	 17394	 46919
30660	12392	18892	 34521	 50645	 47484	 33182	 18028	 17895	 33665	 15677	 33686	 17451	 46802
25687	12009	18314	 48728	 33258	 46777	 32516	 17158	 32075	 15009	 15202	 16881	 16199	 16137
30058	12933	18586	 35636	 52653	 47664	 33114	 18023	 15218	 31615	 46260	 16878	 15552	 29504
24834	11516	17670	 33758	 15468	 46671	 32296	 17116	 44869	 28626	 13222	 16967	 15459	 15892
23231	10431	18657	 34658	 15815	 34477	 47476	 17021	 15398	 31590	 15329	 16872	 15672	 15813
21811	10004	18905	 34826	 16388	 47075	 32416	 17280	 16895	 14600	 14678	 17164	 16102	 15409
21120	7495	18697	 34678	 15786	 16679	 15026	 31657	 16900	 15988	 15227	 17469	 35086	 20252
20423	9266	17884	 14968	 17169	 31909	 47294	 14448	 17318	 16185	 20316	 17419	 14763	 15405
23572	10642	17328	 33592	 15625	 33982	 49424	 16674	 17340	 17155	 33016	 17254	 16124	 15356
25250	13081	34100	 50340	 16986	 17054	 14647	 15502	 20325	 50380	 35154	 17125	 15508	 15883
23498	10409	17827	 14948	 17723	 17231	 32938	 16671	 18375	 49217	 33931	 16421	 31713	 14982
30443	12785	16278	 48083	 32045	 33899	 49311	 16785	 18478	 49639	 34269	 17603	 32519	 16415
